Afghanistan,"state-owned broadcaster, Radio Television Afghanistan (RTA), operates a series of radio and television stations in Kabul and the provinces; an estimated 150 private radio stations, 50 TV stations, and about a dozen international broadcasters are available (2007)"
Akrotiri,British Forces Broadcast Service (BFBS) provides multi-channel satellite TV service as well as BFBS radio broadcasts to the Akrotiri Sovereign Base (2009)
Albania,"3 public TV networks, one of which transmits by satellite to Albanian-language communities in neighboring countries; more than 60 private TV stations; many viewers can pick up Italian and Greek TV broadcasts via terrestrial reception; cable TV service is available; 2 public radio networks and roughly 25 private radio stations; several international broadcasters are available (2010)"
Algeria,"state-run Radio-Television Algerienne operates the broadcast media and carries programming in Arabic, Berber dialects, and French; use of satellite dishes is widespread, providing easy access to European and Arab satellite stations; state-run radio operates several national networks and roughly 40 regional radio stations (2007)"
American Samoa,"3 TV stations; multi-channel pay TV services are available; about a dozen radio stations, some of which are repeater stations (2009)"
Andorra,1 public TV station and 2 public radio stations; about 10 commercial radio stations; good reception of radio and TV broadcasts from stations in France and Spain; upgraded to terrestrial digital TV broadcasting in 2007; roughly 25 international TV channels available (2012)
Angola,state controls all broadcast media with nationwide reach; state-owned Televisao Popular de Angola (TPA) provides terrestrial TV service on 2 channels; a third TPA channel is available via cable and satellite; TV subscription services are available; state-owned Radio Nacional de Angola (RNA) broadcasts on 5 stations; about a half dozen private radio stations broadcast locally (2008)
Anguilla,"1 private TV station; multi-channel cable TV subscription services are available; about 10 radio stations, one of which is government-owned (2007)"
Antigua and Barbuda,"state-controlled Antigua and Barbuda Broadcasting Service (ABS) operates 1 TV station; multi-channel cable TV subscription services are available; ABS operates 1 radio station; roughly 15 radio stations, some broadcasting on multiple frequencies (2007)"
Argentina,government owns a TV station and a radio network; more than 2 dozen TV stations and hundreds of privately owned radio stations; high rate of cable TV subscription usage (2007)
Armenia,"2 public TV networks operating alongside more than 40 privately owned TV stations that provide local to near nationwide coverage; major Russian broadcast stations are widely available; subscription cable TV services are available in most regions; Public Radio of Armenia is a national, state-run broadcast network that operates alongside about 20 privately owned radio stations; several major international broadcasters are available (2008)"
Aruba,2 commercial TV stations; cable TV subscription service provides access to foreign channels; about 20 commercial radio stations broadcast (2007)
Australia,"the Australian Broadcasting Corporation (ABC) runs multiple national and local radio networks and TV stations, as well as Australia Network, a TV service that broadcasts throughout the Asia-Pacific region and is the main public broadcaster; Special Broadcasting Service (SBS), a second large public broadcaster, operates radio and TV networks broadcasting in multiple languages; several large national commercial TV networks, a large number of local commercial TV stations, and hundreds of commercial radio stations are accessible; cable and satellite systems are available (2008)"
Austria,"Austria's public broadcaster, Osterreichischer Rundfunk (ORF), was the main broadcast source until commercial radio and TV service was introduced in the 1990s; cable and satellite TV are available, including German TV stations (2008)"
Azerbaijan,3 state-run and 1 public TV channels; 4 domestic commercial TV stations and about 15 regional TV stations; cable TV services are available in Baku; 1 state-run and 1 public radio network operating; a small number of private commercial radio stations broadcasting; local FM relays of Baku commercial stations are available in many localities; local relays of several international broadcasters had been available until late 2008 when their broadcasts were banned from FM frequencies (2010)
"Bahamas, The","2 TV stations operated by government-owned, commercially run Broadcasting Corporation of the Bahamas (BCB); multi-channel cable TV subscription service is available; about 15 radio stations operating with BCB operating a multi-channel radio broadcasting network alongside privately owned radio stations (2007)"
Bahrain,state-run Bahrain Radio and Television Corporation (BRTC) operates 5 terrestrial TV networks and several radio stations; satellite TV systems provide access to international broadcasts; 1 private FM station directs broadcasts to Indian listeners; radio and TV broadcasts from countries in the region are available (2007)
Bangladesh,"state-owned Bangladesh Television (BTV) operates 1 terrestrial TV station, 3 radio networks, and about 10 local stations; 8 private satellite TV stations and 3 private radio stations also broadcasting; foreign satellite TV stations are gaining audience share in the large cities; several international radio broadcasters are available (2007)"
Barbados,"government-owned Caribbean Broadcasting Corporation (CBC) operates the lone terrestrial TV station; CBC also operates a multi-channel cable TV subscription service; roughly a dozen radio stations, consisting of a CBC-operated network operating alongside privately owned radio stations (2007)"
Belarus,4 state-controlled national TV channels; Polish and Russian TV broadcasts are available in some areas; state-run Belarusian Radio operates 3 national networks and an external service; Russian and Polish radio broadcasts are available (2007)
Belgium,"a segmented market with the three major communities (Flemish, French, and German-speaking) each having responsibility for their own broadcast media; multiple TV channels exist for each community; additionally, in excess of 90% of households are connected to cable and can access broadcasts of TV stations from neighboring countries; each community has a public radio network co-existing with private broadcasters (2007)"
Belize,8 privately owned TV stations; multi-channel cable TV provides access to foreign stations; about 25 radio stations broadcasting on roughly 50 different frequencies; state-run radio was privatized in 1998 (2007)
Benin,"state-run Office de Radiodiffusion et de Television du Benin (ORTB) operates a TV station with multiple channels giving it a wide broadcast reach; several privately owned TV stations broadcast from Cotonou; satellite TV subscription service is available; state-owned radio, under ORTB control, includes a national station supplemented by a number of regional stations; substantial number of privately owned radio broadcast stations; transmissions of a few international broadcasters are available on FM in Cotonou (2007)"
Bermuda,3 TV stations; cable and satellite TV subscription services are available; roughly 13 radio stations operating (2012)
Bhutan,"state-owned TV station established in 1999; cable TV service offers dozens of Indian and other international channels; first radio station, privately launched in 1973, is now state-owned; 5 private radio stations are currently broadcasting (2012)"
Bolivia,"large number of radio and TV stations broadcasting with private media outlets dominating; state-owned and private radio and TV stations generally operating freely, although both pro-government and anti-government groups have attacked media outlets in response to their reporting (2010)"
Bosnia and Herzegovina,"3 public TV broadcasters: Radio and TV of Bosnia and Herzegovina, Federation TV (operating 2 networks), and Republika Srpska Radio-TV; a local commercial network of 5 TV stations; 3 private, near-national TV stations and dozens of small independent TV stations broadcasting; 3 large public radio broadcasters and many private radio stations (2010)"
Botswana,2 TV stations - 1 state-owned and 1 privately owned; privately owned satellite TV subscription service is available; 2 state-owned national radio stations; 3 privately owned radio stations broadcast locally (2007)
Brazil,"state-run Radiobras operates a radio and a TV network; more than 1,000 radio stations and more than 100 TV channels operating - mostly privately owned; private media ownership highly concentrated (2007)"
British Indian Ocean Territory,Armed Forces Radio and Television Service (AFRTS) broadcasts over 3 separate frequencies for US and UK military personnel stationed on the islands (2009)
British Virgin Islands,1 private TV station; multi-channel TV is available from cable and satellite subscription services; about a half dozen private radio stations (2007)
Brunei,state-controlled Radio Television Brunei (RTB) operates 5 channels; 3 Malaysian TV stations are available; foreign TV broadcasts are available via satellite and cable systems; RTB operates 5 radio networks and broadcasts on multiple frequencies; British Forces Broadcast Service (BFBS) provides radio broadcasts on 2 FM stations; some radio broadcast stations from Malaysia are available via repeaters (2009)
Bulgaria,"4 national terrestrial TV stations with 1 state-owned and 3 privately owned; a vast array of TV stations are available from cable and satellite TV providers; state-owned national radio broadcasts over 3 networks; large number of private radio stations broadcasting, especially in urban areas (2010)"
Burkina Faso,2 TV stations - 1 state-owned and 1 privately owned; state-owned radio runs a national and regional network; substantial number of privately owned radio stations; transmissions of several international broadcasters available in Ouagadougou (2007)
Burma,"government controls all domestic broadcast media; 2 state-controlled TV stations with 1 of the stations controlled by the armed forces; 2 pay-TV stations are joint state-private ventures; access to satellite TV is limited; 1 state-controlled domestic radio station and 9 FM stations that are joint state-private ventures; transmissions of several international broadcasters are available in parts of Burma; the Voice of America (VOA), Radio Free Asia (RFA), BBC Burmese service, the Democratic Voice of Burma (DVB), and Radio Australia use shortwave to broadcast in Burma; VOA, RFA, and DVB produce daily TV news programs that are transmitted by satellite to audiences in Burma"
Burundi,state-controlled La Radiodiffusion et Television Nationale de Burundi (RTNB) operates the lone TV station and the only national radio network; about 10 privately owned radio stations; transmissions of several international broadcasters are available in Bujumbura (2007)
Cabo Verde,state-run TV and radio broadcast network plus a growing number of private broadcasters; Portuguese public TV and radio services for Africa are available; transmissions of a few international broadcasters are available (2007)
Cambodia,"mixture of state-owned, joint public-private, and privately owned broadcast media; 9 TV broadcast stations with most operating on multiple channels, including 1 state-operated station broadcasting from multiple locations, 6 stations either jointly operated or privately owned with some broadcasting from several locations, and 2 TV relay stations - one relaying a French TV station and the other relaying a Vietnamese TV station; multi-channel cable and satellite systems are available; roughly 50 radio broadcast stations - 1 state-owned broadcaster with multiple stations and a large mixture of public and private broadcasters; several international broadcasters are available (2009)"
Cameroon,"government maintains tight control over broadcast media; state-owned Cameroon Radio Television (CRTV), broadcasting on both a TV and radio network, was the only officially recognized and fully licensed broadcaster until August 2007 when the government finally issued licenses to 2 private TV broadcasters and 1 private radio broadcaster; about 70 privately owned, unlicensed radio stations operating but are subject to closure at any time; foreign news services required to partner with state-owned national station (2007)"
Canada,"2 public TV broadcasting networks each with a large number of network affiliates; several private-commercial networks also with multiple network affiliates; overall, about 150 TV stations; multi-channel satellite and cable systems provide access to a wide range of stations including US stations; mix of public and commercial radio broadcasters with the Canadian Broadcasting Corporation (CBC), the public radio broadcaster, operating 4 radio networks, Radio Canada International, and radio services to indigenous populations in the north; roughly 2,000 licensed radio stations in Canada (2008)"
Cayman Islands,4 TV stations; cable and satellite subscription services offer a variety of international programming; government-owned Radio Cayman operates 2 networks broadcasting on 5 stations; 10 privately owned radio stations operate alongside Radio Cayman (2007)
Central African Republic,"government-owned network, Radiodiffusion Television Centrafricaine, provides domestic TV broadcasting; licenses for 2 private TV stations are pending; state-owned radio network is supplemented by a small number of privately owned broadcast stations as well as a few community radio stations; transmissions of at least 2 international broadcasters are available (2007)"
Chad,"1 state-owned TV station; state-owned radio network, Radiodiffusion Nationale Tchadienne (RNT), operates national and regional stations; about 10 private radio stations; some stations rebroadcast programs from international broadcasters (2007)"
Chile,"national and local terrestrial TV channels, coupled with extensive cable TV networks; the state-owned Television Nacional de Chile (TVN) network is self financed through commercial advertising revenues and is not under direct government control; large number of privately owned TV stations; about 250 radio stations (2007)"
China,"all broadcast media are owned by, or affiliated with, the Communist Party of China or a government agency; no privately owned TV or radio stations; state-run Chinese Central TV, provincial, and municipal stations offer more than 2,000 channels; the Central Propaganda Department lists subjects that are off limits to domestic broadcast media with the government maintaining authority to approve all programming; foreign-made TV programs must be approved prior to broadcast"
Christmas Island,1 community radio station; satellite broadcasts of several Australian radio and TV stations (2009)
Cocos (Keeling) Islands,1 local radio station staffed by community volunteers; satellite broadcasts of several Australian radio and TV stations available (2009)
Colombia,"combination of state-owned and privately owned broadcast media provide service; more than 500 radio stations and many national, regional, and local TV stations (2007)"
Comoros,"national state-owned TV station and a TV station run by Anjouan regional government; national state-owned radio; regional governments on the islands of Grande Comore and Anjouan each operate a radio station; a few independent and small community radio stations operate on the islands of Grande Comore and Moheli, and these two islands have access to Mayotte Radio and French TV (2007)"
"Congo, Democratic Republic of the",state-owned TV broadcast station with near national coverage; more than a dozen privately owned TV stations with 2 having near national coverage; 2 state-owned radio stations are supplemented by more than 100 private radio stations; transmissions of at least 2 international broadcasters are available (2007)
"Congo, Republic of the",1 state-owned TV and 3 state-owned radio stations; several privately owned TV and radio stations; satellite TV service is available; rebroadcasts of several international broadcasters are available (2007)
Cook Islands,1 privately owned TV station broadcasts from Rarotonga providing a mix of local news and overseas-sourced programs; a satellite program package is available; 6 radio stations broadcast with 1 reportedly reaching all of the islands (2009)
Costa Rica,multiple privately owned TV stations and 1 publicly owned TV station; cable network services are widely available; more than 100 privately owned radio stations and a public radio network (2007)
Cote d'Ivoire,"2 state-owned TV stations; no private terrestrial TV stations, but satellite TV subscription service is available; 2 state-owned radio stations; some private radio stations; transmissions of several international broadcasters are available (2007)"
Croatia,"the national state-owned public broadcaster, Croatian Radiotelevision (HRT), operates 4 terrestrial TV networks, a satellite channel that rebroadcasts programs for Croatians living abroad, and 6 regional TV centers; 2 private broadcasters operate national terrestrial networks; roughly 25 privately owned regional TV stations; multi-channel cable and satellite TV subscription services are available; state-owned public broadcaster operates 3 national radio networks and 9 regional radio stations; 2 privately owned national radio networks and more than 170 regional, county, city, and community radio stations (2012)"
Cuba,"government owns and controls all broadcast media with private ownership of electronic media prohibited; government operates 4 national TV networks and many local TV stations; government operates 6 national radio networks, an international station, and many local radio stations; Radio-TV Marti is beamed from the US (2007)"
Curacao,government-run Telecuracao operates a TV station and a radio station; several privately-owned radio stations
Cyprus,"mixture of state and privately run TV and radio services; the public broadcaster operates 2 TV channels and 4 radio stations; 6 private TV broadcasters, satellite and cable TV services including telecasts from Greece and Turkey, and a number of private radio stations are available; in areas administered by Turkish Cypriots, there are 2 public TV stations, 4 public radio stations, and privately owned TV and radio broadcast stations (2007)"
Czech Republic,roughly 130 TV broadcasters operating some 350 channels with 4 publicly operated and the remainder in private hands; 16 TV stations have national coverage with 4 being publicly operated; cable and satellite TV subscription services are available; 63 radio broadcasters are registered operating roughly 80 radio stations with 15 stations publicly operated; 10 radio stations provide national coverage with the remainder local or regional (2008)
Denmark,"strong public-sector TV presence with state-owned Danmarks Radio (DR) operating 4 channels and publicly owned TV2 operating roughly a half dozen channels; broadcasts of privately owned stations are available via satellite and cable feed; DR operates 4 nationwide FM radio stations, 15 digital audio broadcasting stations, and about 15 web-based radio stations; approximately 250 commercial and community radio stations (2007)"
Dhekelia,British Forces Broadcast Service (BFBS) provides multi-channel satellite TV service as well as BFBS radio broadcasts to the Dhekelia Sovereign Base (2009)
Djibouti,state-owned Radiodiffusion-Television de Djibouti (RTD) operates the sole terrestrial TV station as well as the only 2 domestic radio networks; no private TV or radio stations; transmissions of several international broadcasters are available (2007)
Dominica,"no terrestrial TV service available; subscription cable TV provider offers some locally produced programming plus channels from the US, Latin America, and the Caribbean; state-operated radio broadcasts on 6 stations; privately owned radio broadcasts on about 15 stations (2007)"
Dominican Republic,combination of state-owned and privately owned broadcast media; 1 state-owned TV network and a number of private TV networks; networks operate repeaters to extend signals throughout country; combination of state-owned and privately owned radio stations with more than 300 radio stations operating (2007)
Ecuador,"Ecuador has multiple TV networks and many local channels, as well as more than 300 radio stations; many TV and radio stations are privately owned; the government owns or controls 5 national TV stations and multiple radio stations; broadcast media required by law to give the government free air time to broadcast programs produced by the state (2007)"
Egypt,mix of state-run and private broadcast media; state-run TV operates 2 national and 6 regional terrestrial networks as well as a few satellite channels; about 20 private satellite channels and a large number of Arabic satellite channels are available via subscription; state-run radio operates about 70 stations belonging to 8 networks; 2 privately owned radio stations operational (2008)
El Salvador,"multiple privately owned national terrestrial TV networks, supplemented by cable TV networks that carry international channels; hundreds of commercial radio broadcast stations and 1 government-owned radio broadcast station (2007)"
Equatorial Guinea,"state maintains control of broadcast media with domestic broadcast media limited to 1 state-owned TV station, 1 private TV station owned by the president's eldest son, 1 state-owned radio station, and 1 private radio station owned by the president's eldest son; satellite TV service is available; transmissions of multiple international broadcasters are accessible (2013)"
Eritrea,government controls broadcast media with private ownership prohibited; 1 state-owned TV station; state-owned radio operates 2 networks; purchases of satellite dishes and subscriptions to international broadcast media are permitted (2007)
Estonia,"the publicly owned broadcaster, Eesti Rahvusringhaaling (ERR), operates 2 TV channels and 5 radio networks; growing number of private commercial radio stations broadcasting nationally, regionally, and locally; fully transitioned to digital television in 2010; national private TV channels expanding service; a range of channels are aimed at Russian-speaking viewers; high penetration rate for cable TV services with more than half of Estonian households connected (2008)"
Ethiopia,1 public TV station broadcasting nationally and 1 public radio broadcaster with stations in each of the 13 administrative districts; a few commercial radio stations and roughly a dozen community radio stations (2009)
Falkland Islands (Islas Malvinas),"TV service provided by a multi-channel service provider; radio services provided by the public broadcaster, Falkland Islands Radio Service, broadcasting on both AM and FM frequencies, and by the British Forces Broadcasting Service (BFBS) (2007)"
Faroe Islands,1 publicly owned TV station; the Faroese telecommunications company distributes local and international channels through its digital terrestrial network; publicly owned radio station supplemented by 2 privately owned stations broadcasting over multiple frequencies (2008)
Fiji,"Fiji TV, a publicly traded company, operates a free-to-air channel as well as Sky Fiji and Sky Pacific multi-channel pay-TV services; state-owned commercial company, Fiji Broadcasting Corporation, Ltd, operates 6 radio stations - 2 public broadcasters and 4 commercial broadcasters with multiple repeaters; 5 radio stations with repeaters operated by Communications Fiji, Ltd; transmissions of multiple international broadcasters are available (2009)"
Finland,a mix of publicly operated TV stations and privately owned TV stations; the 2 publicly owned TV stations recently expanded services and the largest private TV station has introduced several special-interest pay-TV channels; cable and satellite multi-channel subscription services are available; all TV signals have been broadcast digitally since September 2007; analog broadcasts via cable networks were terminated in February 2008; public broadcasting maintains a network of 13 national and 25 regional radio stations; a large number of private radio broadcasters (2008)
France,"a mix of both publicly operated and privately owned TV stations; state-owned France Televisions operates 4 networks, one of which is a network of regional stations, and has part-interest in several thematic cable/satellite channels and international channels; a large number of privately owned regional and local TV stations; multi-channel satellite and cable services provide a large number of channels; public broadcaster Radio France operates 7 national networks, a series of regional networks, and operates services for overseas territories and foreign audiences; Radio France Internationale (RFI), under the Ministry of Foreign Affairs, is a leading international broadcaster; a large number of commercial FM stations, with many of them consolidating into commercial networks (2008)"
French Polynesia,"the publicly owned French Overseas Network (RFO), which operates in France's overseas departments and territories, broadcasts on 2 TV channels and 1 radio station; 1 government-owned TV station; a small number of privately owned radio stations (2008)"
Gabon,state owns and operates 2 TV stations and 2 radio broadcast stations; a few private radio and TV stations; transmissions of at least 2 international broadcasters are accessible; satellite service subscriptions are available (2007)
"Gambia, The","state-owned, single-channel TV service; state-owned radio station and 4 privately owned radio stations; transmissions of multiple international broadcasters are available, some via shortwave radio; cable and satellite TV subscription services are obtainable in some parts of the country (2007)"
Gaza Strip,1 TV station and about 10 radio stations (2008)
Georgia,"1 public broadcaster in Tbilisi, 1 state-owned broadcaster in Ajaria Autonomous Republic; 8 privately owned TV stations; state run public broadcaster operates 2 TV stations; dozens of cable TV operators, several major commercial TV stations, and several dozen private radio stations; state run public broadcaster operates 2 radio stations (2012)"
Germany,"a mixture of publicly operated and privately owned TV and radio stations; national and regional public broadcasters compete with nearly 400 privately owned national and regional TV stations; more than 90% of households have cable or satellite TV; hundreds of radio stations including multiple national radio networks, regional radio networks, and a large number of local radio stations (2008)"
