Afghanistan,NA bbl (1 January 2013 est.)
Albania,172.4 million bbl (1 January 2013 est.)
Algeria,12.2 billion bbl (1 January 2013 est.)
American Samoa,0 bbl (1 January 2013 est.)
Angola,10.47 billion bbl (1 January 2013 est.)
Antigua and Barbuda,0 bbl (1 January 2013 est.)
Argentina,2.805 billion bbl (1 January 2013 est.)
Armenia,0 bbl (1 January 2013 est.)
Aruba,0 bbl (1 January 2013 est.)
Australia,1.433 billion bbl (1 January 2013 est.)
Austria,85 million bbl (1 January 2012 est.)
Azerbaijan,7 billion bbl (1 January 2013 est.)
"Bahamas, The",0 bbl (1 January 2013 est.)
Bahrain,124.6 million bbl (1 January 2013 est.)
Bangladesh,28 million bbl (1 January 2013 est.)
Barbados,2.26 million bbl (1 January 2013 est.)
Belarus,198 million bbl (1 January 2013 est.)
Belgium,0 bbl (1 January 2013 est.)
Belize,6.7 million bbl (1 January 2013 est.)
Benin,8 million bbl (1 January 2013 est.)
Bermuda,0 bbl (1 January 2013 est.)
Bhutan,0 bbl (1 January 2013 est.)
Bolivia,209.8 million bbl (1 January 2013 est.)
Bosnia and Herzegovina,0 bbl (1 January 2013 est.)
Botswana,0 bbl (1 January 2013 est.)
Brazil,13.15 billion bbl (1 January 2013 est.)
British Virgin Islands,0 bbl (1 January 2013 est.)
Brunei,1.1 billion bbl (1 January 2013 est.)
Bulgaria,15 million bbl (1 January 2013 est.)
Burkina Faso,0 bbl (1 January 2013 est.)
Burma,50 million bbl (1 January 2013 est.)
Burundi,0 bbl (1 January 2013 est.)
Cabo Verde,0 bbl (1 January 2013 est.)
Cambodia,0 bbl (1 January 2013 est.)
Cameroon,200 million bbl (1 January 2013 est.)
Canada,173.1 billion bbl (1 January 2013 est.)
Cayman Islands,0 bbl (1 January 2013 est.)
Central African Republic,0 bbl (1 January 2013 est.)
Chad,1.5 billion bbl (1 January 2013 est.)
Chile,150 million bbl (1 January 2013 est.)
China,17.3 billion bbl (1 January 2013 est.)
Colombia,2.2 billion bbl (1 January 2013 est.)
Comoros,0 bbl (1 January 2013 est.)
"Congo, Democratic Republic of the",180 million bbl (1 January 2013 est.)
"Congo, Republic of the",1.6 billion bbl (1 January 2013 est.)
Cook Islands,0 bbl (1 January 2013 est.)
Costa Rica,0 bbl (1 January 2013 est.)
Cote d'Ivoire,100 million bbl (1 January 2013 est.)
Croatia,71 million bbl (1 January 2013 est.)
Cuba,124 million bbl (1 January 2013 est.)
Curacao,0 bbl (1 January 2011 est.)
Cyprus,0 bbl (1 January 2013 est.)
Czech Republic,15 million bbl (1 January 2013 est.)
Denmark,805 million bbl (1 January 2013 est.)
Djibouti,0 bbl (1 January 2013 est.)
Dominica,0 bbl (1 January 2013 est.)
Dominican Republic,0 bbl (1 January 2013 est.)
Ecuador,8.24 billion bbl (1 January 2013 est.)
Egypt,4.4 billion bbl (1 January 2013 est.)
El Salvador,0 bbl (1 January 2013 est.)
Equatorial Guinea,1.1 billion bbl (1 January 2013 est.)
Eritrea,0 bbl (1 January 2013 est.)
Estonia,0 bbl (1 January 2013 est.)
Ethiopia,"430,000 bbl (1 January 2013 est.)"
European Union,5.675 billion bbl (1 January 2013 est.)
Falkland Islands (Islas Malvinas),0 bbl (1 January 2013 est.)
Faroe Islands,0 bbl (1 January 2013 est.)
Fiji,0 bbl (1 January 2013 est.)
Finland,0 bbl (1 January 2013 est.)
France,85.18 million bbl (1 January 2013 est.)
French Polynesia,0 bbl (1 January 2013 est.)
Gabon,2 billion bbl (1 January 2013 est.)
"Gambia, The",0 bbl (1 January 2013 est.)
Gaza Strip,0 bbl (1 January 2010 est.)
Georgia,35 million bbl (1 January 2013 est.)
Germany,254.2 million bbl (1 January 2013 est.)
Ghana,660 million bbl (1 January 2013 est.)
Gibraltar,0 bbl (1 January 2013 est.)
Greece,10 million bbl (1 January 2013 est.)
Greenland,0 bbl (1 January 2013 est.)
Grenada,0 bbl (1 January 2013 est.)
Guam,0 bbl (1 January 2013 est.)
Guatemala,83.07 million bbl (1 January 2013 est.)
Guinea,0 bbl (1 January 2013 est.)
Guinea-Bissau,0 bbl (1 January 2013 est.)
Guyana,0 bbl (1 January 2013 est.)
Haiti,0 bbl (1 January 2013 est.)
Honduras,0 bbl (1 January 2013 est.)
Hong Kong,0 bbl (1 January 2013 est.)
Hungary,27.32 million bbl (1 January 2013 est.)
Iceland,0 bbl (1 January 2013 est.)
India,5.476 billion bbl (1 January 2013 est.)
Indonesia,4.03 billion bbl (1 January 2013 est.)
Iran,154.6 billion bbl (1 January 2013 est.)
Iraq,141.4 billion bbl (1 January 2013 est.)
Ireland,0 bbl (1 January 2013 est.)
Israel,11.5 million bbl (1 January 2013 est.)
Italy,521.3 million bbl (1 January 2013 est.)
Jamaica,0 bbl (1 January 2013 est.)
Japan,44.12 million bbl (1 January 2013 est.)
Jordan,1 million bbl (1 January 2013 est.)
Kazakhstan,30 billion bbl (1 January 2013 est.)
Kenya,0 bbl (1 January 2013 est.)
Kiribati,0 bbl (1 January 2013 est.)
"Korea, North",0 bbl (1 January 2013 est.)
"Korea, South",0 bbl
Kosovo,NA bbl
Kuwait,104 billion bbl (1 January 2013 est.)
Kyrgyzstan,40 million bbl (1 January 2013 est.)
Laos,0 bbl (1 January 2013 est.)
Latvia,0 bbl (1 January 2013 est.)
Lebanon,0 bbl (1 January 2013 est.)
Lesotho,0 bbl (1 January 2013 est.)
Liberia,0 bbl (1 January 2013 est.)
Libya,48.01 billion bbl (1 January 2013 est.)
Lithuania,12 million bbl (1 January 2013 est.)
Luxembourg,0 bbl (1 January 2013 est.)
Macau,0 bbl (1 January 2013 est.)
Macedonia,0 bbl (1 January 2013 est. est.)
Madagascar,0 bbl (1 January 2013 est.)
Malawi,0 bbl (1 January 2013 est.)
Malaysia,4 billion bbl (1 January 2013 est.)
Maldives,0 bbl (1 January 2013 est.)
Mali,0 bbl (1 January 2013 est.)
Malta,0 bbl
Mauritania,20 million bbl (1 January 2013 est.)
Mauritius,0 bbl (1 January 2013 est.)
Mexico,10.26 billion bbl (1 January 2013 est.)
Moldova,"7,330 bbl (1 January 2013 est.)"
Mongolia,NA bbl
Montenegro,0 bbl (1 January 2012 est.)
Montserrat,0 bbl (1 January 2013 est.)
Morocco,"680,000 bbl (1 January 2013 est.)"
Mozambique,0 bbl (1 January 2013 est.)
Namibia,0 bbl (1 January 2013 est.)
Nauru,0 bbl (1 January 2013 est.)
Nepal,0 bbl (1 January 2013 est.)
Netherlands,352 million bbl (1 January 2013 est.)
New Caledonia,0 bbl (1 January 2013 est.)
New Zealand,81.4 million bbl (1 January 2013 est.)
Nicaragua,0 bbl (1 January 2013 est.)
Niger,NA bbl (1 January 2013 est.)
Nigeria,37.2 billion bbl (1 January 2013 est.)
Niue,0 bbl (1 January 2013 est.)
Norway,5.366 billion bbl (1 January 2010 est.)
Oman,5.5 billion bbl (1 January 2013 est.)
Pakistan,247.5 million bbl (1 January 2013 est.)
Panama,0 bbl (1 January 2010 est.)
Papua New Guinea,154.3 million bbl (1 January 2013 est.)
Paraguay,0 bbl (1 January 2013 est.)
Peru,579.2 million bbl (1 January 2013 est.)
Philippines,138.5 million bbl (1 January 2013 est.)
Poland,156.5 million bbl (1 January 2010 est.)
Portugal,0 bbl (1 January 2013 est.)
Puerto Rico,0 bbl (1 January 2013 est.)
Qatar,25.38 billion bbl (1 January 2013 est.)
Romania,600 million bbl (1 January 2013 est.)
Russia,80 billion bbl (1 January 2013 est.)
Rwanda,0 bbl (1 January 2013 est.)
"Saint Helena, Ascension, and Tristan da Cunha",0 bbl (1 January 2013 est.)
Saint Kitts and Nevis,0 bbl (1 January 2013 est.)
Saint Lucia,0 bbl (1 January 2013 est.)
Saint Pierre and Miquelon,0 bbl (1 January 2013 est.)
Saint Vincent and the Grenadines,0 bbl (1 January 2013 est.)
Samoa,0 bbl (1 January 2013 est.)
Sao Tome and Principe,0 bbl (1 January 2010 est.)
Saudi Arabia,267.9 billion bbl (1 January 2013 est.)
Senegal,0 bbl (1 January 2013 est.)
Serbia,77.5 million bbl (1 January 2013 est.)
Seychelles,0 bbl (1 January 2010 est.)
Sierra Leone,0 bbl (1 January 2013 est.)
Singapore,0 bbl (1 January 2013 est.)
Slovakia,9 million bbl (1 January 2013 est.)
Slovenia,0 bbl (1 January 2013 est.)
Solomon Islands,0 bbl (1 January 2013 est.)
Somalia,0 bbl (1 January 2013 est.)
South Africa,15 million bbl (1 January 2013 est.)
South Sudan,3.75 billion bbl (1 January 2013 est.)
Spain,150 million bbl (1 January 2013 est.)
Sri Lanka,0 bbl (1 January 2013 est.)
Sudan,1.25 billion bbl (1 January 2013 est.)
Suriname,76.8 million bbl (1 January 2013 est.)
Swaziland,0 bbl (1 January 2010 est.)
Sweden,0 bbl (1 January 2013 est.)
Switzerland,0 bbl (1 January 2013 est.)
Syria,2.5 billion bbl (1 January 2013 est.)
Taiwan,2.38 million bbl (1 January 2013 est.)
Tajikistan,12 million bbl (1 January 2013 est.)
Tanzania,0 bbl
Thailand,453.3 million bbl (1 January 2013 est.)
Timor-Leste,0 bbl (1 January 2013 est.)
Togo,0 bbl (1 January 2013 est.)
Tokelau,0 bbl (1 January 2013 est.)
Tonga,0 bbl (1 January 2010 est.)
Trinidad and Tobago,728.3 million bbl (1 January 2013 est.)
Tunisia,425 million bbl (1 January 2013 est.)
Turkey,270.4 million bbl (1 January 2013 est.)
Turkmenistan,600 million bbl (1 January 2013 est.)
Turks and Caicos Islands,0 bbl (1 January 2013 est.)
Uganda,2.5 billion bbl (1 January 2010 est.)
Ukraine,395 million bbl (1 January 2013 est.)
United Arab Emirates,97.8 billion bbl (1 January 2013 est.)
United Kingdom,3.122 billion bbl (1 January 2013 est.)
United States,20.68 billion bbl (1 January 2013 est.)
Uruguay,0 bbl (1 January 2009 est.)
Uzbekistan,594 million bbl (1 January 2013 est.)
Vanuatu,0 bbl (1 January 2013 est.)
Venezuela,297.6 billion bbl (1 January 2013 est.)
Vietnam,4.4 billion bbl (1 January 2013 est.)
Virgin Islands,0 bbl (1 January 2013 est.)
West Bank,0 bbl (1 January 2009 est.)
Western Sahara,0 bbl (1 January 2013 est.)
World,1.63 trillion bbl (1 January 2013 est.)
Yemen,3 billion bbl (1 January 2013 est.)
Zambia,0 bbl (1 January 2013 est.)
Zimbabwe,0 bbl (1 January 2013 est.)
